Year,Month,Crash_ID,Crash_Fatal_Fl,Death_Cnt,yearMonth,crashPctChange,deathCntPctChange,fatalPctChange,State,Country,deathRate,fatRate,deathRatePctChange,fatRatePctChange
2019,1,15677,72,78,2019-01,,,,Tennessee,United States,0.004975441729922817,0.004592715443005677,,
2019,2,15653,79,81,2019-02,-0.0015309051476685154,0.03846153846153855,0.09722222222222232,Tennessee,United States,0.00517472688941417,0.005046955855107647,0.040053762119819813,0.0989045408405913
2019,3,16495,62,65,2019-03,0.053791605443046064,-0.19753086419753085,-0.21518987341772156,Tennessee,United States,0.003940588056986966,0.003758714762049106,-0.23849352029608684,-0.2552511117676626
2019,4,17605,83,88,2019-04,0.06729311912700808,0.3538461538461539,0.33870967741935476,Tennessee,United States,0.00499857994887816,0.004714569724510082,0.2684857885653116,0.25430367106119034
2019,5,17761,103,109,2019-05,0.008861119000284079,0.23863636363636354,0.24096385542168686,Tennessee,United States,0.006137041833230111,0.005799223016722032,0.22775706220472847,0.23006411095652268
2019,6,16208,101,104,2019-06,-0.08743877033950787,-0.04587155963302747,-0.01941747572815533,Tennessee,United States,0.006416584402764067,0.006231490621915104,0.045550051169656935,0.07453888287217625
2019,7,15757,98,100,2019-07,-0.027825765054294127,-0.038461538461538436,-0.02970297029702973,Tennessee,United States,0.006346385733324872,0.006219458018658374,-0.010940192637216128,-0.0019309349859908398
2019,8,16948,91,97,2019-08,0.07558545408389916,-0.030000000000000027,-0.0714285714285714,Tennessee,United States,0.005723389190464952,0.005369365116827944,-0.09816556525843756,-0.1366827944300213
2019,9,16342,109,120,2019-09,-0.035756431437337755,0.23711340206185572,0.19780219780219777,Tennessee,United States,0.007343042467262269,0.006669930241096561,0.28298849211506116,0.24221953545169805
2019,10,19647,98,108,2019-10,0.20223962795251493,-0.09999999999999998,-0.1009174311926605,Tennessee,United States,0.005497022446174988,0.0049880388863439715,-0.25139715987173616,-0.25216026164556715
2019,11,19220,85,91,2019-11,-0.02173359800478447,-0.15740740740740744,-0.13265306122448983,Tennessee,United States,0.00473465140478668,0.004422476586888657,-0.13868799861255643,-0.11338369895304645
2019,12,17458,99,107,2019-12,-0.091675338189386,0.17582417582417587,0.16470588235294126,Tennessee,United States,0.006128995303012945,0.005670752663535342,0.2944976892737232,0.28225724933116814
2020,1,15876,71,74,2020-01,-0.09061748195669606,-0.30841121495327106,-0.2828282828282829,Tennessee,United States,0.004661123708742756,0.004472159234063996,-0.23949628310999038,-0.2113640817344521
2020,2,15865,75,89,2020-02,-0.0006928697404887663,0.20270270270270263,0.05633802816901401,Tennessee,United States,0.0056098329656476525,0.004727387330601954,0.20353659679219116,0.057070440290656554
2020,3,13244,73,77,2020-03,-0.16520642924676965,-0.1348314606741573,-0.026666666666666616,Tennessee,United States,0.005813953488372093,0.005511929930534581,0.03638620329239606,0.1659569113057484
2020,4,8752,74,74,2020-04,-0.3391724554515252,-0.038961038961038974,0.013698630136986356,Tennessee,United States,0.008455210237659964,0.008455210237659964,0.4542961608775138,0.5339836217475147
2020,5,12628,69,86,2020-05,0.4428702010968921,0.16216216216216206,-0.06756756756756754,Tennessee,United States,0.006810262907823884,0.0054640481469749765,-0.19454836528007258,-0.3537655488875001
